Player,Squad,Metric,PlayerValue,FullbackMedian
Pedro Porro,Tottenham,Crosses / 90,7.459807073954984,2.233009708737864
Hugo Bueno,Wolves,Crosses / 90,6.311787072243346,2.233009708737864
Reece James,Chelsea,Crosses / 90,5.779816513761467,2.233009708737864
Kieran Trippier,Newcastle,Crosses / 90,5.454545454545454,2.233009708737864
Lucas Digne,Aston Villa,Crosses / 90,5.242718446601941,2.233009708737864
Maxim De Cuyper,Brighton,Crosses / 90,4.904458598726115,2.233009708737864
Oliver Scarles,West Ham,Crosses / 90,4.794520547945206,2.233009708737864
Antonee Robinson,Fulham,Crosses / 90,4.63855421686747,2.233009708737864
Jeremie Frimpong,Liverpool,Crosses / 90,4.396551724137932,2.233009708737864
Jackson Tchatchoua,Wolves,Crosses / 90,4.390243902439025,2.233009708737864
Lewis Hall,Newcastle,Crosses / 90,4.214876033057851,2.233009708737864
Andy Robertson,Liverpool,Crosses / 90,4.0458015267175576,2.233009708737864
Neco Williams,Nottingham,Crosses / 90,4.01685393258427,2.233009708737864
Matty Cash,Aston Villa,Crosses / 90,3.91044776119403,2.233009708737864
Adrien Truffert,Bournemouth,Crosses / 90,3.786666666666666,2.233009708737864
Quilindschy Hartman,Burnley,Crosses / 90,3.645320197044335,2.233009708737864
El Hadji Malick Diouf,West Ham,Crosses / 90,3.6212624584717608,2.233009708737864
Milos Kerkez,Liverpool,Crosses / 90,3.147410358565737,2.233009708737864
Ferdi Kadioglu,Brighton,Crosses / 90,3.132183908045977,2.233009708737864
Ian Maatsen,Aston Villa,Crosses / 90,3.033707865168539,2.233009708737864
Gabriel Gudmundsson,Leeds United,Crosses / 90,3.0136986301369864,2.233009708737864
Tyrick Mitchell,Crystal Palace,Crosses / 90,2.880886426592798,2.233009708737864
Vitaliy Mykolenko,Everton,Crosses / 90,2.8267477203647418,2.233009708737864
Nordi Mukiele,Sunderland,Crosses / 90,2.750809061488673,2.233009708737864
David Møller Wolfe,Wolves,Crosses / 90,2.735042735042735,2.233009708737864
Ryan Sessegnon,Fulham,Crosses / 90,2.70935960591133,2.233009708737864
Trai Hume,Sunderland,Crosses / 90,2.611275964391691,2.233009708737864
Tino Livramento,Newcastle,Crosses / 90,2.4324324324324325,2.233009708737864
Nicolò Savona,Nottingham,Crosses / 90,2.3684210526315788,2.233009708737864
Timothy Castagne,Fulham,Crosses / 90,2.341463414634146,2.233009708737864
Daniel Muñoz,Crystal Palace,Crosses / 90,2.322097378277153,2.233009708737864
Malo Gusto,Chelsea,Crosses / 90,2.310756972111553,2.233009708737864
Nathaniel Clyne,Crystal Palace,Crosses / 90,2.272727272727273,2.233009708737864
Conor Bradley,Liverpool,Crosses / 90,2.233009708737864,2.233009708737864
Ola Aina,Nottingham,Crosses / 90,2.215909090909091,2.233009708737864
Jayden Bogle,Leeds United,Crosses / 90,2.161290322580645,2.233009708737864
Djed Spence,Tottenham,Crosses / 90,2.149122807017544,2.233009708737864
Matheus Nunes,Manchester City,Crosses / 90,2.1069182389937104,2.233009708737864
Ben White,Arsenal,Crosses / 90,2.0512820512820515,2.233009708737864
Rayan Aït-Nouri,Manchester City,Crosses / 90,2.0370370370370368,2.233009708737864
Álex Jiménez,Bournemouth,Crosses / 90,1.9844357976653697,2.233009708737864
Diogo Dalot,Manchester Utd,Crosses / 90,1.9655172413793105,2.233009708737864
Aaron Wan-Bissaka,West Ham,Crosses / 90,1.8614718614718613,2.233009708737864
Destiny Udogie,Tottenham,Crosses / 90,1.812080536912752,2.233009708737864
James Justin,Leeds United,Crosses / 90,1.800947867298578,2.233009708737864
Rico Henry,Brentford,Crosses / 90,1.7567567567567566,2.233009708737864
Kenny Tete,Fulham,Crosses / 90,1.7085427135678393,2.233009708737864
Jurriën Timber,Arsenal,Crosses / 90,1.684981684981685,2.233009708737864
Michael Kayode,Brentford,Crosses / 90,1.5469613259668509,2.233009708737864
Joël Veltman,Brighton,Crosses / 90,1.5254237288135593,2.233009708737864
Luke Shaw,Manchester Utd,Crosses / 90,1.5083798882681565,2.233009708737864
Jake O'Brien,Everton,Crosses / 90,1.4121037463976944,2.233009708737864
Marc Cucurella,Chelsea,Crosses / 90,1.362126245847176,2.233009708737864
Kyle Walker-Peters,West Ham,Crosses / 90,1.2987012987012987,2.233009708737864
Nico O'Reilly,Manchester City,Crosses / 90,1.2925170068027212,2.233009708737864
Noussair Mazraoui,Manchester Utd,Crosses / 90,1.1926605504587156,2.233009708737864
Riccardo Calafiori,Arsenal,Crosses / 90,1.1111111111111112,2.233009708737864
Adam Smith,Bournemouth,Crosses / 90,1.0833333333333333,2.233009708737864
Kyle Walker,Burnley,Crosses / 90,1.0755813953488371,2.233009708737864
Reinildo Mandava,Sunderland,Crosses / 90,1.055045871559633,2.233009708737864
Matt Doherty,Wolves,Crosses / 90,0.9195402298850576,2.233009708737864
Mats Wieffer,Brighton,Crosses / 90,0.8056872037914692,2.233009708737864
Jorrel Hato,Chelsea,Crosses / 90,0.546875,2.233009708737864
Aaron Hickey,Brentford,Crosses / 90,0.5194805194805194,2.233009708737864
Lutsharel Geertruida,Sunderland,Crosses / 90,0.4787234042553191,2.233009708737864
Joshua Acheampong,Chelsea,Crosses / 90,0.1351351351351351,2.233009708737864
Myles Lewis-Skelly,Arsenal,Crosses / 90,0.0,2.233009708737864
Pedro Porro,Tottenham,Interceptions / 90,0.9967845659163986,1.0091743119266054
Hugo Bueno,Wolves,Interceptions / 90,1.254752851711027,1.0091743119266054
Reece James,Chelsea,Interceptions / 90,1.4678899082568806,1.0091743119266054
Kieran Trippier,Newcastle,Interceptions / 90,0.3977272727272727,1.0091743119266054
Lucas Digne,Aston Villa,Interceptions / 90,0.6310679611650485,1.0091743119266054
Maxim De Cuyper,Brighton,Interceptions / 90,0.7006369426751593,1.0091743119266054
Oliver Scarles,West Ham,Interceptions / 90,1.7808219178082192,1.0091743119266054
Antonee Robinson,Fulham,Interceptions / 90,1.686746987951807,1.0091743119266054
Jeremie Frimpong,Liverpool,Interceptions / 90,0.5172413793103449,1.0091743119266054
Jackson Tchatchoua,Wolves,Interceptions / 90,0.6829268292682927,1.0091743119266054
Lewis Hall,Newcastle,Interceptions / 90,1.1983471074380163,1.0091743119266054
Andy Robertson,Liverpool,Interceptions / 90,0.5343511450381679,1.0091743119266054
Neco Williams,Nottingham,Interceptions / 90,1.2921348314606742,1.0091743119266054
Matty Cash,Aston Villa,Interceptions / 90,0.7164179104477612,1.0091743119266054
Adrien Truffert,Bournemouth,Interceptions / 90,1.1466666666666667,1.0091743119266054
Quilindschy Hartman,Burnley,Interceptions / 90,1.5763546798029555,1.0091743119266054
El Hadji Malick Diouf,West Ham,Interceptions / 90,1.0631229235880395,1.0091743119266054
Milos Kerkez,Liverpool,Interceptions / 90,0.597609561752988,1.0091743119266054
Ferdi Kadioglu,Brighton,Interceptions / 90,0.7183908045977012,1.0091743119266054
Ian Maatsen,Aston Villa,Interceptions / 90,1.0112359550561798,1.0091743119266054
Gabriel Gudmundsson,Leeds United,Interceptions / 90,0.9589041095890412,1.0091743119266054
Tyrick Mitchell,Crystal Palace,Interceptions / 90,0.9141274238227146,1.0091743119266054
Vitaliy Mykolenko,Everton,Interceptions / 90,0.8206686930091186,1.0091743119266054
Nordi Mukiele,Sunderland,Interceptions / 90,1.197411003236246,1.0091743119266054
David Møller Wolfe,Wolves,Interceptions / 90,0.5982905982905983,1.0091743119266054
Ryan Sessegnon,Fulham,Interceptions / 90,1.1330049261083743,1.0091743119266054
Trai Hume,Sunderland,Interceptions / 90,0.7418397626112759,1.0091743119266054
Tino Livramento,Newcastle,Interceptions / 90,0.1351351351351351,1.0091743119266054
Nicolò Savona,Nottingham,Interceptions / 90,0.4385964912280701,1.0091743119266054
Timothy Castagne,Fulham,Interceptions / 90,1.3658536585365857,1.0091743119266054
Daniel Muñoz,Crystal Palace,Interceptions / 90,0.898876404494382,1.0091743119266054
Malo Gusto,Chelsea,Interceptions / 90,1.195219123505976,1.0091743119266054
Nathaniel Clyne,Crystal Palace,Interceptions / 90,1.0606060606060606,1.0091743119266054
Conor Bradley,Liverpool,Interceptions / 90,1.1650485436893203,1.0091743119266054
Ola Aina,Nottingham,Interceptions / 90,1.477272727272727,1.0091743119266054
Jayden Bogle,Leeds United,Interceptions / 90,0.967741935483871,1.0091743119266054
Djed Spence,Tottenham,Interceptions / 90,0.6578947368421052,1.0091743119266054
Matheus Nunes,Manchester City,Interceptions / 90,0.9119496855345912,1.0091743119266054
Ben White,Arsenal,Interceptions / 90,1.153846153846154,1.0091743119266054
Rayan Aït-Nouri,Manchester City,Interceptions / 90,1.2037037037037035,1.0091743119266054
Álex Jiménez,Bournemouth,Interceptions / 90,1.050583657587549,1.0091743119266054
Diogo Dalot,Manchester Utd,Interceptions / 90,0.896551724137931,1.0091743119266054
Aaron Wan-Bissaka,West Ham,Interceptions / 90,1.7748917748917747,1.0091743119266054
Destiny Udogie,Tottenham,Interceptions / 90,0.4697986577181208,1.0091743119266054
James Justin,Leeds United,Interceptions / 90,1.2322274881516586,1.0091743119266054
Rico Henry,Brentford,Interceptions / 90,0.4729729729729729,1.0091743119266054
Kenny Tete,Fulham,Interceptions / 90,1.306532663316583,1.0091743119266054
Jurriën Timber,Arsenal,Interceptions / 90,0.8791208791208791,1.0091743119266054
Michael Kayode,Brentford,Interceptions / 90,1.0773480662983426,1.0091743119266054
Joël Veltman,Brighton,Interceptions / 90,1.6101694915254237,1.0091743119266054
Luke Shaw,Manchester Utd,Interceptions / 90,1.2011173184357542,1.0091743119266054
Jake O'Brien,Everton,Interceptions / 90,0.3746397694524495,1.0091743119266054
Marc Cucurella,Chelsea,Interceptions / 90,0.9302325581395348,1.0091743119266054
Kyle Walker-Peters,West Ham,Interceptions / 90,0.5844155844155844,1.0091743119266054
Nico O'Reilly,Manchester City,Interceptions / 90,0.6802721088435374,1.0091743119266054
Noussair Mazraoui,Manchester Utd,Interceptions / 90,1.0091743119266054,1.0091743119266054
Riccardo Calafiori,Arsenal,Interceptions / 90,0.6878306878306879,1.0091743119266054
Adam Smith,Bournemouth,Interceptions / 90,0.8333333333333334,1.0091743119266054
Kyle Walker,Burnley,Interceptions / 90,1.25,1.0091743119266054
Reinildo Mandava,Sunderland,Interceptions / 90,1.3302752293577982,1.0091743119266054
Matt Doherty,Wolves,Interceptions / 90,0.8045977011494253,1.0091743119266054
Mats Wieffer,Brighton,Interceptions / 90,1.1374407582938388,1.0091743119266054
Jorrel Hato,Chelsea,Interceptions / 90,1.328125,1.0091743119266054
Aaron Hickey,Brentford,Interceptions / 90,1.0389610389610389,1.0091743119266054
Lutsharel Geertruida,Sunderland,Interceptions / 90,1.0638297872340423,1.0091743119266054
Joshua Acheampong,Chelsea,Interceptions / 90,1.6216216216216215,1.0091743119266054
Myles Lewis-Skelly,Arsenal,Interceptions / 90,0.6329113924050632,1.0091743119266054
Pedro Porro,Tottenham,Tackles Won / 90,1.607717041800643,1.262135922330097
Hugo Bueno,Wolves,Tackles Won / 90,1.3307984790874523,1.262135922330097
Reece James,Chelsea,Tackles Won / 90,1.5137614678899085,1.262135922330097
Kieran Trippier,Newcastle,Tackles Won / 90,0.7386363636363635,1.262135922330097
Lucas Digne,Aston Villa,Tackles Won / 90,1.262135922330097,1.262135922330097
Maxim De Cuyper,Brighton,Tackles Won / 90,0.6369426751592357,1.262135922330097
Oliver Scarles,West Ham,Tackles Won / 90,2.602739726027397,1.262135922330097
Antonee Robinson,Fulham,Tackles Won / 90,1.867469879518072,1.262135922330097
Jeremie Frimpong,Liverpool,Tackles Won / 90,0.7758620689655172,1.262135922330097
Jackson Tchatchoua,Wolves,Tackles Won / 90,0.7317073170731707,1.262135922330097
Lewis Hall,Newcastle,Tackles Won / 90,1.28099173553719,1.262135922330097
Andy Robertson,Liverpool,Tackles Won / 90,0.7633587786259542,1.262135922330097
Neco Williams,Nottingham,Tackles Won / 90,1.7134831460674156,1.262135922330097
Matty Cash,Aston Villa,Tackles Won / 90,0.9552238805970148,1.262135922330097
Adrien Truffert,Bournemouth,Tackles Won / 90,1.36,1.262135922330097
Quilindschy Hartman,Burnley,Tackles Won / 90,1.5270935960591132,1.262135922330097
El Hadji Malick Diouf,West Ham,Tackles Won / 90,0.6312292358803986,1.262135922330097
Milos Kerkez,Liverpool,Tackles Won / 90,1.0358565737051793,1.262135922330097
Ferdi Kadioglu,Brighton,Tackles Won / 90,1.120689655172414,1.262135922330097
Ian Maatsen,Aston Villa,Tackles Won / 90,1.7415730337078652,1.262135922330097
Gabriel Gudmundsson,Leeds United,Tackles Won / 90,1.6095890410958904,1.262135922330097
Tyrick Mitchell,Crystal Palace,Tackles Won / 90,1.8005540166204983,1.262135922330097
Vitaliy Mykolenko,Everton,Tackles Won / 90,0.7598784194528876,1.262135922330097
Nordi Mukiele,Sunderland,Tackles Won / 90,1.4563106796116505,1.262135922330097
David Møller Wolfe,Wolves,Tackles Won / 90,0.4273504273504274,1.262135922330097
Ryan Sessegnon,Fulham,Tackles Won / 90,1.4285714285714286,1.262135922330097
Trai Hume,Sunderland,Tackles Won / 90,1.3649851632047476,1.262135922330097
Tino Livramento,Newcastle,Tackles Won / 90,0.945945945945946,1.262135922330097
Nicolò Savona,Nottingham,Tackles Won / 90,1.0526315789473684,1.262135922330097
Timothy Castagne,Fulham,Tackles Won / 90,1.170731707317073,1.262135922330097
Daniel Muñoz,Crystal Palace,Tackles Won / 90,1.797752808988764,1.262135922330097
Malo Gusto,Chelsea,Tackles Won / 90,0.9163346613545816,1.262135922330097
Nathaniel Clyne,Crystal Palace,Tackles Won / 90,1.3636363636363638,1.262135922330097
Conor Bradley,Liverpool,Tackles Won / 90,1.4563106796116505,1.262135922330097
Ola Aina,Nottingham,Tackles Won / 90,1.193181818181818,1.262135922330097
Jayden Bogle,Leeds United,Tackles Won / 90,1.3870967741935485,1.262135922330097
Djed Spence,Tottenham,Tackles Won / 90,1.0964912280701753,1.262135922330097
Matheus Nunes,Manchester City,Tackles Won / 90,1.2893081761006289,1.262135922330097
Ben White,Arsenal,Tackles Won / 90,1.153846153846154,1.262135922330097
Rayan Aït-Nouri,Manchester City,Tackles Won / 90,1.9444444444444444,1.262135922330097
Álex Jiménez,Bournemouth,Tackles Won / 90,1.7509727626459144,1.262135922330097
Diogo Dalot,Manchester Utd,Tackles Won / 90,1.0344827586206895,1.262135922330097
Aaron Wan-Bissaka,West Ham,Tackles Won / 90,1.0389610389610389,1.262135922330097
Destiny Udogie,Tottenham,Tackles Won / 90,1.342281879194631,1.262135922330097
James Justin,Leeds United,Tackles Won / 90,1.800947867298578,1.262135922330097
Rico Henry,Brentford,Tackles Won / 90,0.7432432432432432,1.262135922330097
Kenny Tete,Fulham,Tackles Won / 90,1.9095477386934676,1.262135922330097
Jurriën Timber,Arsenal,Tackles Won / 90,1.282051282051282,1.262135922330097
Michael Kayode,Brentford,Tackles Won / 90,1.298342541436464,1.262135922330097
Joël Veltman,Brighton,Tackles Won / 90,1.4406779661016949,1.262135922330097
Luke Shaw,Manchester Utd,Tackles Won / 90,1.2569832402234635,1.262135922330097
Jake O'Brien,Everton,Tackles Won / 90,0.9221902017291066,1.262135922330097
Marc Cucurella,Chelsea,Tackles Won / 90,1.32890365448505,1.262135922330097
Kyle Walker-Peters,West Ham,Tackles Won / 90,1.948051948051948,1.262135922330097
Nico O'Reilly,Manchester City,Tackles Won / 90,1.2244897959183674,1.262135922330097
Noussair Mazraoui,Manchester Utd,Tackles Won / 90,1.3761467889908257,1.262135922330097
Riccardo Calafiori,Arsenal,Tackles Won / 90,1.0052910052910051,1.262135922330097
Adam Smith,Bournemouth,Tackles Won / 90,1.0,1.262135922330097
Kyle Walker,Burnley,Tackles Won / 90,0.9302325581395348,1.262135922330097
Reinildo Mandava,Sunderland,Tackles Won / 90,1.055045871559633,1.262135922330097
Matt Doherty,Wolves,Tackles Won / 90,0.9195402298850576,1.262135922330097
Mats Wieffer,Brighton,Tackles Won / 90,2.037914691943128,1.262135922330097
Jorrel Hato,Chelsea,Tackles Won / 90,1.484375,1.262135922330097
Aaron Hickey,Brentford,Tackles Won / 90,0.9090909090909092,1.262135922330097
Lutsharel Geertruida,Sunderland,Tackles Won / 90,1.1702127659574468,1.262135922330097
Joshua Acheampong,Chelsea,Tackles Won / 90,1.081081081081081,1.262135922330097
Myles Lewis-Skelly,Arsenal,Tackles Won / 90,0.6329113924050632,1.262135922330097
