Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Joshua Acheampong,DF,Chelsea,7.4,1,12,8,b7e62e1d,0.13513513513513511,1.6216216216216215,1.081081081081081
Tosin Adarabioyo,DF,Chelsea,8.8,0,9,6,c81d773d,0.0,1.0227272727272727,0.6818181818181818
Emmanuel Agbadou,DF,Wolves,12.2,13,14,21,75f1ed80,1.0655737704918034,1.1475409836065575,1.7213114754098362
Ola Aina,DF,Nottingham,17.6,39,26,21,246d153b,2.215909090909091,1.477272727272727,1.1931818181818181
Rayan Aït-Nouri,DF,Manchester City,10.8,22,13,21,9b398aea,2.0370370370370368,1.2037037037037037,1.9444444444444444
Kristoffer Ajer,DF,Brentford,20.1,7,15,23,a8c0acb7,0.34825870646766166,0.7462686567164178,1.144278606965174
Nathan Aké,DF,Manchester City,7.7,4,5,6,eaeca114,0.5194805194805194,0.6493506493506493,0.7792207792207793
Omar Alderete,DF,Sunderland,31.1,11,36,18,bb08bce9,0.35369774919614144,1.157556270096463,0.5787781350482315
Joachim Andersen,DF,Fulham,31.9,15,34,26,e34fc66d,0.4702194357366771,1.0658307210031348,0.8150470219435737
Benoît Badiashile,DF,Chelsea,5.2,0,9,5,06df8256,0.0,1.7307692307692306,0.9615384615384615
Daniel Ballard,DF,Sunderland,23.9,1,20,17,38f300f3,0.041841004184100423,0.8368200836820084,0.7112970711297072
Calvin Bassey,DF,Fulham,28.2,14,22,32,a36524bf,0.49645390070921985,0.7801418439716312,1.1347517730496455
Jaka Bijol,DF,Leeds United,21.0,1,22,13,6fdac234,0.047619047619047616,1.0476190476190477,0.6190476190476191
Olivier Boscagli,DF,Brighton,8.9,15,16,11,403f5d20,1.6853932584269662,1.797752808988764,1.2359550561797752
Sven Botman,DF,Newcastle,20.4,2,25,14,ccce7025,0.09803921568627452,1.2254901960784315,0.6862745098039216
Conor Bradley,DF,Liverpool,10.3,23,12,15,bbd67769,2.233009708737864,1.1650485436893203,1.4563106796116503
Jarrad Branthwaite,DF,Everton,7.6,3,11,6,c1949191,0.39473684210526316,1.4473684210526316,0.7894736842105263
Santiago Bueno,DF,Wolves,28.4,6,27,30,edc98fac,0.21126760563380284,0.9507042253521127,1.0563380281690142
Dan Burn,DF,Newcastle,24.4,14,20,26,b2d31e83,0.5737704918032788,0.819672131147541,1.0655737704918034
Riccardo Calafiori,DF,Arsenal,18.9,21,13,19,aded8e6f,1.1111111111111112,0.6878306878306879,1.0052910052910053
Jaydee Canvot,DF,Crystal Palace,14.8,5,12,22,3684108d,0.33783783783783783,0.8108108108108107,1.4864864864864864
Matty Cash,DF,Aston Villa,33.5,131,24,32,2389cdc2,3.91044776119403,0.7164179104477612,0.9552238805970149
Trevoh Chalobah,DF,Chelsea,30.9,5,37,22,5515376c,0.16181229773462785,1.197411003236246,0.7119741100323624
Nathan Collins,DF,Brentford,33.1,1,36,13,a8c19eb8,0.030211480362537763,1.0876132930513596,0.39274924471299094
Marc Cucurella,DF,Chelsea,30.1,41,28,40,1daec722,1.3621262458471761,0.9302325581395349,1.3289036544850499
Jorge Cuenca,DF,Fulham,10.4,2,15,10,0abc51f2,0.1923076923076923,1.4423076923076923,0.9615384615384615
Jair Cunha,DF,Nottingham,5.7,2,5,5,ac31d35e,0.3508771929824561,0.8771929824561403,0.8771929824561403
Kevin Danso,DF,Tottenham,16.6,7,25,13,6e33125f,0.4216867469879518,1.506024096385542,0.7831325301204819
Sepp van den Berg,DF,Brentford,30.7,0,26,9,7bf9400b,0.0,0.8469055374592834,0.2931596091205212
Bafodé Diakité,DF,Bournemouth,14.2,1,10,15,1bfb6fef,0.07042253521126761,0.7042253521126761,1.0563380281690142
Rúben Dias,DF,Manchester City,23.8,9,23,6,31c69ef1,0.37815126050420167,0.9663865546218487,0.25210084033613445
Lucas Digne,DF,Aston Villa,20.6,108,13,26,1b84dbe1,5.242718446601941,0.6310679611650485,1.262135922330097
Issa Diop,DF,Fulham,9.1,1,6,2,a712ca2b,0.10989010989010989,0.6593406593406593,0.21978021978021978
Axel Disasi,DF,West Ham,13.9,0,12,10,ad82197c,0.0,0.8633093525179856,0.7194244604316546
Radu Drăgușin,DF,Tottenham,5.7,3,16,3,620922ed,0.5263157894736842,2.807017543859649,0.5263157894736842
