Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Brenden Aaronson,MFFW,Leeds United,27.2,37,17,27,5bc43860,1.3602941176470589,0.625,0.9926470588235294
Joshua Acheampong,DF,Chelsea,7.4,1,12,8,b7e62e1d,0.13513513513513511,1.6216216216216215,1.081081081081081
Tyler Adams,MF,Bournemouth,19.7,3,30,24,2b09d998,0.15228426395939088,1.5228426395939088,1.218274111675127
Tosin Adarabioyo,DF,Chelsea,8.8,0,9,6,c81d773d,0.0,1.0227272727272727,0.6818181818181818
Simon Adingra,MFFW,Sunderland,7.3,27,2,8,4dcec659,3.6986301369863015,0.273972602739726,1.095890410958904
Amine Adli,MF,Bournemouth,12.2,39,6,17,dcfb17f4,3.19672131147541,0.49180327868852464,1.3934426229508197
Emmanuel Agbadou,DF,Wolves,12.2,13,14,21,75f1ed80,1.0655737704918034,1.1475409836065575,1.7213114754098362
Ola Aina,DF,Nottingham,17.6,39,26,21,246d153b,2.215909090909091,1.477272727272727,1.1931818181818181
Rayan Aït-Nouri,DF,Manchester City,10.8,22,13,21,9b398aea,2.0370370370370368,1.2037037037037037,1.9444444444444444
Kristoffer Ajer,DF,Brentford,20.1,7,15,23,a8c0acb7,0.34825870646766166,0.7462686567164178,1.144278606965174
Nathan Aké,DF,Manchester City,7.7,4,5,6,eaeca114,0.5194805194805194,0.6493506493506493,0.7792207792207793
Carlos Alcaraz,MF,Everton,7.7,6,2,9,4abac767,0.7792207792207793,0.2597402597402597,1.1688311688311688
Omar Alderete,DF,Sunderland,31.1,11,36,18,bb08bce9,0.35369774919614144,1.157556270096463,0.5787781350482315
Alisson,GK,Liverpool,26.0,0,0,0,7a2e46a8,0.0,0.0,0.0
Ethan Ampadu,MF,Leeds United,34.7,25,50,46,10b9fa99,0.7204610951008645,1.440922190201729,1.3256484149855907
Joachim Andersen,DF,Fulham,31.9,15,34,26,e34fc66d,0.4702194357366771,1.0658307210031348,0.8150470219435737
Elliot Anderson,MF,Nottingham,37.0,175,41,60,de31038e,4.72972972972973,1.1081081081081081,1.6216216216216217
André,MF,Wolves,30.7,40,25,42,ec604e2c,1.3029315960912053,0.8143322475570033,1.3680781758957654
Jaidon Anthony,MF,Burnley,30.2,80,16,21,e4238fb1,2.6490066225165565,0.5298013245033113,0.695364238410596
Alphonse Areola,GK,West Ham,20.0,0,1,0,2f965a72,0.0,0.05,0.0
Jhon Arias,FWMF,Wolves,12.5,30,7,27,86d96066,2.4,0.56,2.16
Adam Armstrong,FWMF,Wolves,12.7,5,1,4,68c720b5,0.3937007874015748,0.07874015748031496,0.31496062992125984
Harrison Armstrong,MF,Everton,5.9,3,4,10,de59e609,0.5084745762711864,0.6779661016949152,1.694915254237288
Tolu Arokodare,FW,Wolves,15.8,0,5,4,a42760bc,0.0,0.3164556962025316,0.2531645569620253
Taiwo Awoniyi,FW,Nottingham,5.5,1,1,1,e5478b87,0.18181818181818182,0.18181818181818182,0.18181818181818182
Yasin Ayari,MF,Brighton,21.4,24,26,25,f173303a,1.1214953271028039,1.2149532710280375,1.1682242990654206
Benoît Badiashile,DF,Chelsea,5.2,0,9,5,06df8256,0.0,1.7307692307692306,0.9615384615384615
Leon Bailey,MF,Aston Villa,5.1,19,4,6,3a233281,3.7254901960784315,0.7843137254901962,1.1764705882352942
Dilane Bakwa,MF,Nottingham,6.1,38,0,3,2b5a35e5,6.229508196721312,0.0,0.49180327868852464
